uri,artist_name,artist_total_followers,artist_image,genres,popularity
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,1483887,https://i.scdn.co/image/ab67616100005174af5f61e03f53afbd814020c6,['german hip hop'],79
spotify:artist:0xRXCcSX89eobfrshSVdyu,MEDUZA,516279,https://i.scdn.co/image/ab676161000051740250d43f727734741aad6423,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']",78
spotify:artist:7FsRH5bw8iWpSbMX1G7xf1,Joan Sebastian,6633414,https://i.scdn.co/image/ab676161000051745686584438168677d344427b,"['banda', 'grupera', 'musica mexicana', 'norteno', 'ranchera']",80
spotify:artist:0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,4440076,https://i.scdn.co/image/ab67616100005174519065f878e37f78e069c8ad,['memphis hip hop'],81
spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,Journey,4208513,https://i.scdn.co/image/ab67616100005174a700dbc2c4c3431c1d86b3c1,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",76
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,5949657,https://i.scdn.co/image/ab67616100005174698a6abf2897a8fc8283cc0c,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']",75
spotify:artist:1U1el3k54VvEUzo3ybLPlM,Kali Uchis,2761089,https://i.scdn.co/image/ab67616100005174c0e4ab64af28b59e1d49bc86,"['colombian pop', 'dance pop', 'pop', 'r&b']",85
spotify:artist:6ASri4ePR7RlsvIQgWPJpS,iann dior,1545602,https://i.scdn.co/image/ab676161000051742aeeeb3db9b941db74d2cfe2,"['melodic rap', 'pop rap']",83
spotify:artist:4STHEaNw4mPZ2tzheohgXB,Paul McCartney,3941682,https://i.scdn.co/image/ab6761610000517403bf2fe26e397122faa3d323,"['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",74
spotify:artist:1dKdetem2xEmjgvyymzytS,Grupo Firme,5364372,https://i.scdn.co/image/ab676161000051742fc779723cefd8fba3083ce1,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']",86
spotify:artist:2IvkS5MXK0vPGnwyJsrEyV,Eric Church,3352821,https://i.scdn.co/image/ab6761610000517416270287e763424c8105beb8,"['contemporary country', 'country', 'country road', 'modern country rock']",75
spotify:artist:7bu3H8JO7d0UbMoVzbo70s,The Cure,3653932,https://i.scdn.co/image/2cb2e14783685fd3d27006891aaaa35fc53cd82d,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",77
spotify:artist:2Kx7MNY7cI1ENniW7vT30N,Norah Jones,2767411,https://i.scdn.co/image/ab6761610000517438b431c35d7c9f7bbcb2378a,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",75
spotify:artist:2MRBDr0crHWE5JwPceFncq,Juan Gabriel,6389379,https://i.scdn.co/image/d82a0dee228b5a991f8c7207a3fe65117e23f3eb,"['cancion melodica', 'latin', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']",78
spotify:artist:1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy,5987617,https://i.scdn.co/image/ab67616100005174aa2e120075652341890059e9,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",77
spotify:artist:4PPoI9LuYeFX8V674Z1R6l,Vicente Fernández,6464050,https://i.scdn.co/image/ab67616100005174124d1d79d7838c9dd095f9e6,"['mariachi', 'ranchera']",80
spotify:artist:3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,3844234,https://i.scdn.co/image/ab67616100005174e5289a2a13c374dd34a97247,"['contemporary country', 'country', 'country road']",75
spotify:artist:762310PdDnwsDxAQxzQkfX,Depeche Mode,4601843,https://i.scdn.co/image/ab676161000051748ada6bad4c9b276b7fd24874,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",76
spotify:artist:6CwfuxIqcltXDGjfZsMd9A,MARINA,3556516,https://i.scdn.co/image/ab67616100005174951d80a1db6ae486a5ce5f36,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",80
spotify:artist:70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,3998456,https://i.scdn.co/image/3bffe5e67788e9e64a4f8368f1010f20c269d518,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",75
spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1764473,https://i.scdn.co/image/ab676161000051741f98760ed5b47b21eaf56e8f,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",76
spotify:artist:5rGrDvrLOV2VV8SCFVGWlj,Imanbek,139532,https://i.scdn.co/image/ab6772690000dd2209bedc30a908e616665228df,"['dance pop', 'edm', 'electro house', 'pop dance', 'slap house', 'tropical house']",79
spotify:artist:3NH8t45zOTqzlZgBvZRjvB,PNL,4941031,https://i.scdn.co/image/ab6761610000517451767bb5e3e3add66699344b,"['french hip hop', 'pop urbaine']",77
spotify:artist:2cWZOOzeOm4WmBJRnD5R7I,Normani,1845829,https://i.scdn.co/image/ab6761610000517488df630d05d2a188ecf14777,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",75
spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,8018730,https://i.scdn.co/image/ab67616100005174225866e7b8ec2b75733d5a27,"['dance pop', 'pop', 'post-teen pop']",70
spotify:artist:1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,1812240,https://i.scdn.co/image/ab676161000051747a2606eb583bb12fe7a982da,"['german hip hop', 'hamburg hip hop']",79
